X,Y,Z
-7.019043E-4,-0.02267456,-5.0354004E-4
-7.019043E-4,-0.0066986084,0.0027008057
0.0014343262,-0.0024261475,-5.0354004E-4
-0.0038909912,0.010345459,-0.0026245117
-0.002822876,0.00289917,-0.0015563965
0.0067596436,0.012481689,-0.0015563965
0.013153076,0.01461792,-0.0058288574
-0.0049591064,0.015670776,-0.0068969727
0.008895874,-0.001373291,-0.0132751465
0.046173096,0.032714844,-0.007949829
-0.16581726,-0.039718628,0.008026123
0.15908813,-0.06315613,0.0058898926
-0.04437256,0.036987305,0.0048217773
-0.08592224,-0.13879395,-0.0068969727
0.05256653,0.116882324,-0.009017944
-0.108291626,0.21594238,0.006958008
0.47122192,-0.056762695,0.020812988
-0.29258728,0.02420044,0.106033325
-0.29470825,0.15309143,0.03678894
-0.24783325,0.22340393,0.07406616
0.171875,-0.11747742,0.08685303
-0.03479004,0.2681427,0.1081543
-0.012420654,-0.17713928,-0.088912964
0.2688141,-0.16542053,-0.21781921
-0.18818665,0.17120361,-0.11021423
0.19744873,-0.17926025,-0.011154175
-0.06994629,0.23831177,0.029327393
0.015289307,0.28411865,0.080459595
0.11328125,-0.054626465,-0.07080078
-0.3852539,-0.058898926,-0.034591675
0.8643036,0.02633667,-0.039916992
0.2038269,-0.13345337,0.16674805
-0.16261292,0.06254578,0.08792114
-0.1253357,0.008224487,0.09643555
-0.035858154,-0.050369263,0.06341553
0.07600403,-0.04397583,0.11242676
0.020614624,0.052963257,0.17100525
0.007827759,0.041244507,0.101760864
0.07600403,0.042312622,0.0847168
0.024871826,0.017807007,0.045303345
-0.02519226,0.023132324,-0.01222229
-0.042236328,-0.052505493,-0.02180481
0.026992798,0.015670776,-0.03564453
-0.019866943,0.006088257,-0.034591675
0.03552246,-0.061019897,-0.038848877
-0.02519226,-0.049301147,-0.032455444
0.05470276,-0.07487488,-0.0132751465
-0.0049591064,-0.07380676,-0.003692627
0.03765869,-0.059951782,0.0027008057
0.017410278,-0.06422424,0.020812988
-0.029464722,-0.012023926,0.012283325
-0.040115356,0.3650818,0.014419556

