Timestamp (s),X,Y,Z
0,0.025634766,-0.008712769,-0.007156372
0.1,-0.030822754,0.016845703,0.0034942627
0.2,0.020309448,0.008331299,0.0013580322
0.3,-0.0010070801,-0.026824951,0.010955811
0.4,0.02456665,-0.080093384,0.017333984
0.5,0.018173218,-0.0342865,0.0056152344
0.6,0.04586792,-0.10671997,0.004562378
0.7,0.0320282,0.024307251,-0.00289917
0.8,-0.0340271,0.0019378662,-0.0018310547
0.9,-0.03189087,0.20646667,-0.01675415
1,-0.0617218,-0.06304932,-0.027404785
1.1,-0.027633667,-0.15359497,-0.12113953
1.2,0.06504822,-0.115234375,-0.003967285
1.3,-0.060653687,-0.23135376,0.050369263
1.4,0.19714355,0.1020813,0.048233032
1.5,-0.030822754,-0.008712769,0.08125305
1.6,-0.17570496,0.34814453,0.07913208
1.7,0.15559387,-0.13441467,0.014144897
1.8,-0.06704712,0.34709167,-0.06149292
1.9,-0.08834839,-0.30378723,-0.034851074
2,0.000061035156,-0.45292664,0.024795532
2.1,0.17263794,0.008331299,0.036514282
2.2,-0.08302307,-0.35491943,-0.14350891
2.3,0.082092285,-0.22070312,-0.06149292
2.4,0.23867798,-0.42097473,-0.023147583
2.5,-0.028701782,0.12657166,0.047164917
2.6,0.14173889,0.010467529,0.010955811
2.7,0.16091919,-0.08114624,-0.015686035
2.8,0.02670288,-0.010848999,-0.02633667
2.9,-0.029754639,0.034957886,-0.01675415
3,0.03842163,0.015792847,-0.04019165
3.1,-0.07876587,0.08609009,-0.08918762
3.2,0.093811035,-0.12376404,-0.12220764
3.3,-0.044677734,0.0019378662,-0.05935669
3.4,0.004333496,-0.18980408,-0.08811951
3.5,0.115112305,-0.060913086,-0.12327576
3.6,-0.0851593,-0.07688904,-0.06575012
3.7,-0.032958984,-0.12269592,-0.02633667
3.8,-0.08088684,-0.05984497,0.016281128
3.9,0.044799805,-0.04600525,-0.01461792
4,-0.014846802,-0.019363403,0.0066833496
