Timestamp (s),X,Y,Z
0,0.0014343262,0.0039520264,0.0058898926
0.1,-0.0007019043,-0.001373291,0.0027008057
0.2,-0.0049591064,0.0050201416,0.0058898926
0.3,-0.0049591064,-0.00030517578,0.0016326904
0.4,0.0056915283,-0.005630493,0.0058898926
0.5,0.0025024414,-0.00881958,0.0016326904
0.6,-0.002822876,-0.012023926,0.009094238
0.7,0.0014343262,-0.02053833,0.0048217773
0.8,-0.002822876,-0.012023926,0.008026123
0.9,-0.0007019043,-0.0077667236,0.0101623535
1,0.0035705566,-0.00030517578,-0.0058288574
1.1,0.004623413,0.008224487,0.0027008057
1.2,0.0056915283,-0.001373291,-0.0026245117
1.3,0.00036621094,-0.004562378,0.0016326904
1.4,-0.0017700195,-0.00030517578,-0.00050354004
1.5,-0.0038909912,0.01461792,-0.009017944
1.6,0.0025024414,0.018875122,-0.0015563965
1.7,-0.0017700195,0.0039520264,-0.0015563965
1.8,0.008895874,0.00076293945,0.0027008057
1.9,-0.0060272217,-0.013092041,0.0058898926
2,-0.0038909912,0.00289917,0.0058898926
2.1,0.0014343262,-0.009887695,-0.003692627
2.2,0.011016846,-0.039718628,-0.01222229
2.3,0.008895874,-0.0066986084,0.01335144
2.4,-0.033721924,0.023132324,0.01121521
2.5,0.116485596,-0.059951782,0.028259277
2.6,-0.06674194,-0.02053833,0.02293396
2.7,-0.009216309,-0.0034942627,0.020812988
2.8,-0.10296631,-0.009887695,0.02720642
2.9,-0.06994629,-0.013092041,0.028259277
3,-0.011352539,-0.07594299,0.052764893
3.1,-0.0038909912,-0.010955811,0.052764893
3.2,0.016342163,0.056152344,0.070877075
3.3,0.06428528,-0.018417358,0.07299805
3.4,-0.03265381,0.008224487,0.08898926
3.5,0.13459778,0.079589844,0.101760864
3.6,-0.18605042,0.015670776,0.07513428
3.7,0.19210815,0.1701355,0.11029053
3.8,0.17080688,-0.051437378,0.07194519
3.9,-0.04862976,0.25216675,0.01121521
4,-0.16474915,0.34484863,-0.042037964
4.1,-0.018814087,-0.20909119,-0.07400513
4.2,0.24751282,-0.460495,-0.042037964
4.3,-0.28405762,0.26707458,0.0005645752
4.4,-0.045440674,-0.31881714,0.037857056
4.5,0.18040466,-0.31988525,0.039978027
4.6,0.061080933,0.33952332,0.080459595
4.7,-0.022003174,0.37998962,0.037857056
4.8,-0.051834106,-0.14091492,-0.011154175
4.9,-0.06781006,0.010345459,-0.05908203
5,0.07279968,-0.015213013,-0.079330444
5.1,-0.1104126,-0.06741333,-0.07080078
5.2,-0.47154236,0.1701355,0.07194519
5.3,0.7982483,-0.2421112,0.037857056
5.4,-0.5865936,-0.3774109,0.029327393
5.5,0.02166748,-0.1270752,0.016540527
5.6,-0.06781006,-0.06422424,-0.029266357
5.7,-0.11894226,0.105163574,0.006958008
5.8,-0.061416626,0.05722046,-0.014343262
5.9,0.017410278,-0.00881958,-0.058029175
6,0.26029968,-0.11428833,-0.060150146
6.1,-0.09870911,0.11155701,0.039978027
6.2,-0.08378601,0.00289917,0.054901123
6.3,-0.020935059,0.010345459,0.0058898926
6.4,-0.07420349,0.048706055,0.008026123
