Timestamp (s),X,Y,Z
0,0.006881714,-0.025222778,-0.0031738281
0.1,-0.0059051514,0.011001587,-0.0010375977
0.2,-0.0069732666,-0.024154663,0.001083374
0.3,0.017532349,-0.008178711,0.001083374
0.4,-0.024017334,-0.028411865,0.0021514893
0.5,0.023925781,-0.018829346,0.0074768066
0.6,-0.043182373,-0.0060424805,0.011734009
0.7,0.05482483,-0.07954407,0.018127441
0.8,-0.05596924,-0.026290894,0.018127441
0.9,0.0015563965,0.110061646,0.017059326
1,-0.011230469,0.024841309,-0.0042419434
1.1,0.010070801,-0.022018433,0.011734009
1.2,0.048431396,-0.04333496,0.07885742
1.3,-0.06022644,0.08343506,0.044769287
1.4,-0.03253174,0.039764404,0.033050537
1.5,-0.07727051,0.17930603,-0.0031738281
1.6,0.030319214,-0.087005615,-0.13526917
1.7,-0.117752075,-0.07209778,-0.15444946
1.8,0.14537048,-0.084869385,-0.043655396
1.9,-0.11882019,0.22299194,0.031982422
2,0.2806549,-0.37675476,-0.014892578
2.1,-0.1742096,0.15054321,-0.034072876
2.2,0.23165894,-0.24893188,0.0074768066
2.3,0.108078,0.061065674,-0.0053100586
2.4,-0.011230469,-0.011367798,0.033050537
2.5,-0.10177612,-0.04866028,0.12571716
2.6,0.14004517,0.022720337,0.094833374
2.7,-0.12947083,0.026977539,0.03730774
2.8,-0.049575806,0.007797241,-0.055374146
2.9,-0.18699646,0.13882446,0.005340576
3,0.003692627,0.08236694,0.005340576
3.1,-0.11668396,0.08129883,-0.0521698
3.2,-0.12947083,-0.02947998,-0.0756073
3.3,0.012207031,-0.059310913,-0.047912598
3.4,0.055877686,-0.13494873,-0.028747559
3.5,-0.033599854,0.035491943,-0.025543213
3.6,-0.054901123,-0.0017852783,-0.06602478
3.7,-0.0410614,-0.015640259,-0.07774353
3.8,0.07292175,0.046157837,-0.048980713
3.9,0.10914612,-0.0007171631,-0.10864258
4,0.032455444,-0.025222778,-0.16615295
