Timestamp (s),X,Y,Z
0,-0.010009766,0.014556885,-0.002487183
0.1,-0.012145996,0.020935059,0.00177002
0.2,-0.003616333,0.023071289,-0.004623413
0.3,0.043258667,0.011352539,-0.003555298
0.4,-0.028121948,0.049697876,-0.0078125
0.5,-0.019592285,0.035858154,-0.009948731
0.6,-0.02279663,0.023071289,-0.004623413
0.7,0.001708984,-0.018478394,0.00390625
0.8,-0.006820679,-0.030197144,0.006027222
0.9,0.031539917,-0.034454346,0.00390625
1,0.011291504,-0.004623413,-0.003555298
1.1,0.000640869,-0.016342163,-0.002487183
1.2,-0.025985718,0.018814087,-0.002487183
1.3,-0.002548218,-0.013153076,0.000701904
1.4,-0.024917603,0.010284424,0.004959106
1.5,0.012359619,-0.012084961,0.002838135
1.6,-0.001495361,-0.016342163,0.00177002
1.7,-0.002548218,-0.013153076,-0.000366211
1.8,-0.029190063,0.029464722,0.006027222
1.9,0.03579712,-0.008880615,-0.003555298
2,0.0027771,0.002838135,-0.003555298
2.1,0.05177307,-0.017410278,-0.004623413
2.2,0.005966187,-0.006759644,-0.000366211
2.3,-0.013198853,0.004959106,-0.000366211
2.4,0.004898071,-0.002487183,-0.002487183
2.5,0.015563965,-0.000366211,0.004959106
2.6,-0.004684448,-0.002487183,0.00390625
2.7,0.027267456,-0.018478394,-0.000366211
2.8,-0.000427246,-0.008880615,0.006027222
2.9,-0.019592285,-0.001434326,0.004959106
3,-0.029190063,0.010284424,0.002838135
3.1,0.001708984,0.006027222,-0.002487183
3.2,-0.00894165,-0.005691528,-0.000366211
3.3,0.010223389,0.023071289,0.00390625
3.4,-0.000427246,-0.014205933,-0.005691528
3.5,-0.025985718,0.008163452,-0.002487183
3.6,-0.000427246,0.00177002,0.00390625
3.7,0.02407837,-0.013153076,-0.000366211
3.8,-0.003616333,-0.024871826,0.00390625
3.9,-0.005752564,-0.018478394,0.00177002
4,-0.019592285,0.018814087,0.00177002
4.1,-0.012145996,-0.017410278,0.00390625
4.2,-0.035583496,0.047576904,0.002838135
4.3,0.12954712,-0.1015625,0.006027222
4.4,0.030471802,-0.05256653,-0.000366211
4.5,0.005966187,-0.041915894,-0.004623413
4.6,0.025146484,-0.002487183,0.007095337
4.7,-0.03451538,0.05290222,0.006027222
4.8,0.008102417,0.003890991,-0.000366211
4.9,0.017684937,0.010284424,0.004959106
5,0.010223389,0.004959106,-0.002487183
5.1,0.048583984,-0.032318115,-0.000366211
5.2,-0.024917603,0.004959106,0.002838135
5.3,-0.033447266,0.026275635,0.00177002
5.4,-0.00894165,-0.039779663,0.002838135
5.5,0.032608032,-0.008880615,-0.005691528
5.6,-0.038772583,0.051834106,0.004959106
5.7,-0.012145996,-0.011016846,0.010299683
5.8,-0.002548218,-0.000366211,0.010299683
5.9,-0.011077881,-0.007827759,0.00390625
6,0.009170532,-0.025924683,0.00390625
6.1,-0.004684448,-0.015274048,-0.003555298
6.2,-0.024917603,0.014556885,-0.000366211
6.3,-0.011077881,0.002838135,0.000701904
6.4,0.038986206,-0.025924683,-0.003555298
6.5,-0.02279663,-0.017410278,0.004959106
6.6,0.038986206,-0.0546875,-0.003555298
6.7,-0.07392883,0.071014404,-0.000366211
6.8,-0.0398407,0.03904724,0.000701904
6.9,0.06562805,-0.08451843,0.00177002
7,0.016616821,-0.007827759,-0.003555298
7.1,0.01449585,-0.026992798,-0.000366211
7.2,0.019821167,-0.006759644,0.00177002
7.3,0.004898071,-0.012084961,-0.006759644
7.4,-0.011077881,0.00177002,0.00390625
7.5,0.004898071,0.016677856,0.002838135
7.6,0.0027771,0.000701904,-0.002487183
7.7,0.05923462,-0.003555298,-0.004623413
7.8,0.015563965,-0.008880615,0.000701904
7.9,0.004898071,0.02520752,-0.001419067
8,-0.035583496,0.040115356,0.000701904
8.1,0.001708984,-0.014205933,0.004959106
8.2,0.013427734,-0.03338623,-0.000366211
8.3,-0.0398407,0.047576904,-0.002487183
8.4,-0.011077881,0.019882202,-0.000366211
8.5,-0.016403198,0.024139404,0.002838135
8.6,-0.017471313,0.014556885,-0.000366211
8.7,0.008102417,0.00177002,0.004959106
8.8,-0.013198853,0.000701904,0.004959106
8.9,-0.00894165,0.002838135,0.007095337
9,0.017684937,-0.253891,-0.001419067
9.1,-0.010009766,0.015609741,0.004959106
9.2,-0.005752564,-0.012084961,-0.001419067
9.3,0.009170532,-0.011016846,-0.000366211
9.4,-0.017471313,0.003890991,-0.004623413
9.5,-0.012145996,0.011352539,0.000701904
9.6,-0.000427246,-0.018478394,-0.001419067
9.7,0.007034302,-0.022735596,0.000701904
9.8,0.04005432,-0.022735596,-0.001419067
9.9,0.17854309,-0.2826538,-0.005691528
